STATION,NAME,DATE,PRCP,PRCP_ATTRIBUTES
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-01,43.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-02,98.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-03,13.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-04,2.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-05,34.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-06,115.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-07,35.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-08,74.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-09,52.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-10,26.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-11,33.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2003-12,12.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-01,105.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-02,94.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-03,58.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-04,100.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-05,84.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-06,289.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-07,21.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-08,48.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-09,39.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-10,117.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-11,358.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2004-12,8.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-01,57,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-02,56.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-03,109.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-04,18.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-05,79.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-06,22.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-07,69.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-08,62.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-09,36.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-10,45.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-11,8.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2005-12,2.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-01,45.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-02,22.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-03,191.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-04,73.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-05,134.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-06,80.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-07,12.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-08,5.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-09,76.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-10,99.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-11,32.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2006-12,106.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-01,175.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-02,3.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-03,151,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-04,57,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-05,178.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-06,137.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-07,249.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-08,63.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-09,100.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-10,28.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-11,29.5,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2007-12,17.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-01,21,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-02,13,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-03,72.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-04,89.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-05,43.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-06,18.7,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-07,9.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-08,60.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-09,0.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-10,51.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-11,18.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2008-12,10.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-01,18.9,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-02,37.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-03,77.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-04,72.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-05,45,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-06,34.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-07,6.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-08,19.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-09,174.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-10,174.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-11,71.2,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2009-12,66.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-01,83.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-02,78.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-03,84.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-04,54.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-05,47.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-06,150.6,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-07,85.8,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-08,0,",T,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-09,335.4,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-10,2.1,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-11,17.3,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2010-12,20,",,,0"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-01,74.1,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-02,12.2,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-03,2.4,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-04,6.9,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-05,92.7,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-06,51,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-07,1.3,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-08,0,",T,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-09,4.6,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-10,55.6,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-11,74.1,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2011-12,125.2,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-01,119.5,",,,X"
USW00013958,"AUSTIN CAMP MABRY, TX US",2012-02,77.4,",,,X"
