WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,QUALIFIER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,DEPTH_IN_METERS,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Barton Creek,05/18/2011 12:30:00 PM,Barton Springs Pool site BSP-9,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,6,Days,Total,,2819,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2637927863172, -97.7707696638517)",1826957,30.2637927863172,-97.7707696638517,362859,false,
Barton Creek,05/18/2011 12:15:00 PM,Barton Springs Pool @ Shallow End,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,6,Days,Total,,2514,,Rainvieux Web Page,U,Barton Springs Algae,"(30.263496776167, -97.7719212983408)",1781633,30.263496776167,-97.7719212983408,361092,false,
Barton Creek,05/18/2011 12:15:00 PM,Barton Springs Pool @ Shallow End,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,6,Days,Total,,2514,,Rainvieux Web Page,U,Barton Springs Algae,"(30.263496776167, -97.7719212983408)",1783804,30.263496776167,-97.7719212983408,362858,false,
Barton Creek,05/18/2011 11:45:00 AM,Barton Springs Pool site BSP-9,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,6,Days,Total,,2819,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2637927863172, -97.7707696638517)",1775466,30.2637927863172,-97.7707696638517,361094,false,
Barton Creek,04/20/2011 12:45:00 PM,Barton Springs Pool @ Beach Edge,Stream,Surface Water,Flow/Rainfall,DAYS AFTER STORM,,9.5,Days,Total,,4974,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2639999995656, -97.7700000003049)",1856315,30.2639999995656,-97.7700000003049,360694,false,
Barton Creek,04/20/2011 12:30:00 PM,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,9.5,Days,Total,,860,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2640070647195, -97.7693825634433)",1855398,30.2640070647195,-97.7693825634433,360669,false,
Barton Creek,04/20/2011 12:10:00 PM,Barton Springs Pool site BSP-9,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,9.5,Days,Total,,2819,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2637927863172, -97.7707696638517)",1855402,30.2637927863172,-97.7707696638517,360639,false,
Barton Creek,04/20/2011 11:50:00 AM,Barton Springs Pool @ Shallow End,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,9.5,Days,Total,,2514,,Rainvieux Web Page,U,Barton Springs Algae,"(30.263496776167, -97.7719212983408)",1777954,30.263496776167,-97.7719212983408,360637,false,
Barton Creek,03/22/2011 12:10:00 PM,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,16,Days,Total,,860,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2640070647195, -97.7693825634433)",1856157,30.2640070647195,-97.7693825634433,360587,false,
Barton Creek,03/22/2011 12:00:00 PM,Barton Springs Pool site BSP-9,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,16,Days,Total,,2819,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2637927863172, -97.7707696638517)",1867432,30.2637927863172,-97.7707696638517,358651,false,
Barton Creek,03/22/2011 11:45:00 AM,Barton Springs Pool @ Shallow End,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,16,Days,Total,,2514,,Rainvieux Web Page,U,Barton Springs Algae,"(30.263496776167, -97.7719212983408)",1867607,30.263496776167,-97.7719212983408,358649,false,
Barton Creek,12/16/2010 11:00:00 AM,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,30,Days,N/A,,860,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2640070647195, -97.7693825634433)",1766451,30.2640070647195,-97.7693825634433,355231,false,
Barton Creek,12/16/2010 10:40:00 AM,Barton Springs Pool site BSP-9,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,30,Days,N/A,,2819,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2637927863172, -97.7707696638517)",1766456,30.2637927863172,-97.7707696638517,355237,false,
Barton Creek,12/16/2010 10:15:00 AM,Barton Springs Pool @ Shallow End,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,30,Days,N/A,,2514,,Rainvieux Web Page,U,Barton Springs Algae,"(30.263496776167, -97.7719212983408)",1766453,30.263496776167,-97.7719212983408,355233,false,
Barton Creek,12/09/2010 03:00:00 PM,Barton Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,10,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",1764828,30.2635351223695,-97.7709796798271,355033,false,
Barton Creek,08/04/2010 04:45:00 PM,Old Mill (Sunken Gardens) Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,6,Days,Total,,422,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635848609854, -97.7680757366172)",2429695,30.2635848609854,-97.7680757366172,480236,false,
Barton Creek,08/04/2010 03:45:00 PM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,6,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2429691,30.2635351223695,-97.7709796798271,480234,false,
Barton Creek,08/04/2010 03:00:00 PM,Eliza Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,6,Days,Total,,428,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2642461579302, -97.7700605859118)",2429697,30.2642461579302,-97.7700605859118,480237,false,
Barton Creek,08/04/2010 02:30:00 PM,Upper Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,6,Days,Total,,183,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635944614644, -97.7737817041223)",2429693,30.2635944614644,-97.7737817041223,480235,false,
Barton Creek,02/17/2010 02:00:00 PM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,6,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2429699,30.2635351223695,-97.7709796798271,480238,false,
Barton Creek,01/06/2010 01:50:00 PM,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,6,Days,Total,,860,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2640070647195, -97.7693825634433)",1774721,30.2640070647195,-97.7693825634433,347592,false,
Barton Creek,01/06/2010 01:30:00 PM,Barton Springs Pool site BSP-9,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,6,Days,Total,,2819,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2637927863172, -97.7707696638517)",1856148,30.2637927863172,-97.7707696638517,360608,false,
Barton Creek,01/06/2010 01:20:00 PM,Barton Springs Pool @ Shallow End,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,,6,Days,Total,,2514,,Rainvieux Web Page,U,Barton Springs Algae,"(30.263496776167, -97.7719212983408)",1856150,30.263496776167,-97.7719212983408,360607,false,
Barton Creek,11/17/2009 03:07:00 PM,Upper Barton Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,183,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635944614644, -97.7737817041223)",1721629,30.2635944614644,-97.7737817041223,346114,false,
Barton Creek,11/17/2009 01:48:00 PM,Barton Spring,Spring,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",1721627,30.2635351223695,-97.7709796798271,346113,false,
Barton Creek,11/17/2009 01:35:00 PM,Barton Springs Pool @ Shallow End,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,N/A,,2514,,Rainvieux Web Page,U,Barton Springs Algae,"(30.263496776167, -97.7719212983408)",1749239,30.263496776167,-97.7719212983408,346116,false,
Barton Creek,11/17/2009 01:10:00 PM,Barton Springs Pool site BSP-9,Sediment,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,Total,,2819,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2637927863172, -97.7707696638517)",1749241,30.2637927863172,-97.7707696638517,346117,false,
Barton Creek,11/17/2009 12:50:00 PM,Barton Spring Pool @ Downstream Dam,Stream,Ground Water,Flow/Rainfall,DAYS AFTER STORM,>,7,Days,N/A,,860,,Rainvieux Web Page,U,Barton Springs Algae,"(30.2640070647195, -97.7693825634433)",1749237,30.2640070647195,-97.7693825634433,346115,false,
Barton Creek,04/01/2015 11:45:00 AM,Barton Spring,Spring,Sediment,Flow/Rainfall,DAYS AFTER STORM,>,10,Days,Total,Barton Springs,35,,Rainvieux Web Page,U,TPDES Sediment Data,"(30.2635351223695, -97.7709796798271)",2431852,30.2635351223695,-97.7709796798271,480784,false,
